date,water_level
1996-12-19,302
1996-12-20,311
1996-12-21,327
1996-12-22,334
1996-12-23,365
1996-12-24,383
1996-12-25,393
1996-12-26,405
1996-12-27,410
1996-12-28,389
1996-12-29,355
1996-12-30,325
1996-12-31,302
1997-01-01,292
1997-01-02,268
1997-01-03,249
1997-01-04,241
1997-01-05,234
1997-01-06,230
1997-01-07,227
1997-01-08,216
1997-01-09,211
1997-01-10,202
1997-01-11,197
1997-01-12,195
1997-01-13,193
1997-01-14,184
1997-01-15,177
1997-01-16,171
1997-01-17,164
1997-01-18,164
1997-01-19,162
1997-01-20,164
1997-01-21,169
1997-01-22,228
1997-01-23,272
1997-01-24,254
1997-01-25,267
1997-01-26,298
1997-01-27,310
1997-01-28,297
1997-01-29,282
1997-01-30,268
1997-01-31,248
1997-02-01,232
1997-02-02,220
1997-02-03,208
1997-02-04,202
1997-02-05,196
1997-02-06,202
1997-02-07,220
1997-02-08,241
1997-02-09,229
1997-02-10,213
1997-02-11,204
1997-02-12,207
1997-02-13,220
1997-02-14,296
1997-02-15,457
1997-02-16,487
1997-02-17,494
1997-02-18,514
1997-02-19,484
1997-02-20,464
1997-02-21,468
1997-02-22,462
1997-02-23,433
1997-02-24,405
1997-02-25,378
1997-02-26,384
1997-02-27,535
1997-02-28,693
1997-03-01,787
1997-03-02,791
1997-03-03,662
1997-03-04,590
1997-03-05,523
1997-03-06,476
1997-03-07,436
1997-03-08,406
1997-03-09,385
1997-03-10,364
1997-03-11,342
1997-03-12,316
1997-03-13,305
1997-03-14,293
1997-03-15,283
1997-03-16,275
1997-03-17,270
1997-03-18,266
1997-03-19,256
1997-03-20,259
1997-03-21,261
1997-03-22,274
1997-03-23,279
1997-03-24,285
1997-03-25,273
1997-03-26,265
1997-03-27,255
1997-03-28,252
1997-03-29,251
1997-03-30,242
1997-03-31,250
1997-04-01,254
1997-04-02,254
1997-04-03,244
1997-04-04,232
1997-04-05,223
1997-04-06,234
1997-04-07,233
1997-04-08,234
1997-04-09,236
1997-04-10,236
1997-04-11,227
1997-04-12,219
1997-04-13,206
1997-04-14,198
1997-04-15,195
1997-04-16,189
1997-04-17,181
1997-04-18,176
1997-04-19,170
1997-04-20,165
1997-04-21,161
1997-04-22,159
1997-04-23,155
1997-04-24,154
1997-04-25,152
1997-04-26,153
1997-04-27,151
1997-04-28,163
1997-04-29,170
1997-04-30,184
1997-05-01,202
1997-05-02,214
1997-05-03,242
1997-05-04,267
1997-05-05,251
1997-05-06,251
1997-05-07,250
1997-05-08,252
1997-05-09,261
1997-05-10,274
1997-05-11,272
1997-05-12,276
1997-05-13,283
1997-05-14,276
1997-05-15,261
1997-05-16,252
1997-05-17,241
1997-05-18,239
1997-05-19,239
1997-05-20,245
1997-05-21,241
1997-05-22,251
1997-05-23,267
1997-05-24,269
1997-05-25,260
1997-05-26,251
1997-05-27,245
1997-05-28,232
1997-05-29,222
1997-05-30,219
1997-05-31,209
1997-06-01,208
1997-06-02,201
1997-06-03,199
1997-06-04,191
1997-06-05,186
1997-06-06,189
1997-06-07,192
1997-06-08,202
1997-06-09,207
1997-06-10,219
1997-06-11,208
1997-06-12,218
1997-06-13,214
1997-06-14,227
1997-06-15,247
1997-06-16,277
1997-06-17,275
1997-06-18,260
1997-06-19,265
1997-06-20,266
1997-06-21,266
1997-06-22,258
1997-06-23,262
1997-06-24,295
1997-06-25,375
1997-06-26,392
1997-06-27,389
1997-06-28,393
1997-06-29,403
1997-06-30,398
1997-07-01,380
1997-07-02,370
1997-07-03,369
1997-07-04,362
1997-07-05,357
1997-07-06,347
1997-07-07,350
1997-07-08,357
1997-07-09,375
1997-07-10,393
1997-07-11,393
1997-07-12,375
1997-07-13,357
1997-07-14,351
1997-07-15,347
1997-07-16,346
1997-07-17,349
1997-07-18,339
1997-07-19,334
1997-07-20,328
1997-07-21,332
1997-07-22,358
1997-07-23,380
1997-07-24,371
1997-07-25,364
1997-07-26,351
1997-07-27,349
1997-07-28,350
1997-07-29,357
1997-07-30,366
1997-07-31,359
1997-08-01,349
1997-08-02,342
1997-08-03,333
1997-08-04,329
1997-08-05,320
1997-08-06,310
1997-08-07,300
1997-08-08,288
1997-08-09,282
1997-08-10,281
1997-08-11,276
1997-08-12,277
1997-08-13,262
1997-08-14,252
1997-08-15,245
1997-08-16,234
1997-08-17,233
1997-08-18,230
1997-08-19,222
1997-08-20,219
1997-08-21,215
1997-08-22,213
1997-08-23,205
1997-08-24,201
1997-08-25,200
1997-08-26,191
1997-08-27,180
1997-08-28,186
1997-08-29,192
1997-08-30,195
1997-08-31,198
1997-09-01,198
1997-09-02,222
1997-09-03,213
1997-09-04,206
1997-09-05,196
1997-09-06,193
1997-09-07,198
1997-09-08,196
1997-09-09,195
1997-09-10,191
1997-09-11,192
1997-09-12,188
1997-09-13,185
1997-09-14,180
1997-09-15,181
1997-09-16,188
1997-09-17,200
1997-09-18,209
1997-09-19,203
1997-09-20,194
1997-09-21,183
1997-09-22,172
1997-09-23,162
1997-09-24,155
1997-09-25,148
1997-09-26,141
1997-09-27,134
1997-09-28,125
1997-09-29,116
1997-09-30,111
1997-10-01,108
1997-10-02,102
1997-10-03,102
1997-10-04,100
1997-10-05,101
1997-10-06,94
1997-10-07,89
1997-10-08,87
1997-10-09,89
1997-10-10,101
1997-10-11,121
1997-10-12,122
1997-10-13,129
1997-10-14,149
1997-10-15,160
1997-10-16,191
1997-10-17,209
1997-10-18,209
1997-10-19,205
1997-10-20,201
1997-10-21,192
1997-10-22,184
1997-10-23,166
1997-10-24,158
1997-10-25,152
1997-10-26,149
1997-10-27,143
1997-10-28,139
1997-10-29,130
1997-10-30,123
1997-10-31,118
1997-11-01,115
1997-11-02,110
1997-11-03,104
1997-11-04,105
1997-11-05,100
1997-11-06,98
1997-11-07,108
1997-11-08,141
1997-11-09,170
1997-11-10,164
1997-11-11,149
1997-11-12,154
1997-11-13,162
1997-11-14,159
1997-11-15,177
1997-11-16,193
1997-11-17,181
1997-11-18,172
1997-11-19,161
1997-11-20,152
1997-11-21,141
1997-11-22,137
1997-11-23,137
1997-11-24,137
1997-11-25,137
1997-11-26,126
1997-11-27,121
1997-11-28,113
1997-11-29,109
1997-11-30,108
1997-12-01,114
1997-12-02,123
1997-12-03,128
1997-12-04,128
1997-12-05,134
1997-12-06,136
1997-12-07,141
1997-12-08,133
1997-12-09,130
1997-12-10,125
1997-12-11,128
1997-12-12,145
1997-12-13,194
1997-12-14,273
1997-12-15,385
1997-12-16,424
1997-12-17,387
1997-12-18,349
1997-12-19,313
1997-12-20,300
1997-12-21,318
1997-12-22,325
1997-12-23,398
1997-12-24,461
1997-12-25,500
1997-12-26,483
1997-12-27,455
1997-12-28,464
1997-12-29,460
1997-12-30,465
1997-12-31,444
1998-01-01,413
1998-01-02,383
1998-01-03,361
1998-01-04,366
1998-01-05,422
1998-01-06,449
1998-01-07,453
1998-01-08,473
1998-01-09,462
1998-01-10,431
1998-01-11,398
1998-01-12,366
1998-01-13,331
1998-01-14,319
1998-01-15,299
1998-01-16,281
1998-01-17,265
1998-01-18,271
1998-01-19,299
1998-01-20,319
1998-01-21,400
1998-01-22,453
1998-01-23,453
1998-01-24,417
1998-01-25,378
1998-01-26,342
1998-01-27,317
1998-01-28,293
1998-01-29,274
1998-01-30,259
1998-01-31,245
1998-02-01,237
1998-02-02,222
1998-02-03,212
1998-02-04,203
1998-02-05,194
1998-02-06,187
1998-02-07,184
1998-02-08,176
1998-02-09,171
1998-02-10,167
1998-02-11,159
1998-02-12,160
1998-02-13,155
1998-02-14,153
1998-02-15,152
1998-02-16,152
1998-02-17,159
1998-02-18,158
1998-02-19,160
1998-02-20,160
1998-02-21,161
1998-02-22,163
1998-02-23,156
1998-02-24,155
1998-02-25,166
1998-02-26,189
1998-02-27,200
1998-02-28,199
1998-03-01,193
1998-03-02,189
1998-03-03,186
1998-03-04,193
1998-03-05,204
1998-03-06,225
1998-03-07,272
1998-03-08,317
1998-03-09,359
1998-03-10,400
1998-03-11,418
1998-03-12,401
1998-03-13,369
1998-03-14,331
1998-03-15,305
1998-03-16,284
1998-03-17,273
1998-03-18,265
1998-03-19,272
1998-03-20,277
1998-03-21,268
1998-03-22,253
1998-03-23,241
1998-03-24,234
1998-03-25,227
1998-03-26,222
1998-03-27,218
1998-03-28,211
1998-03-29,204
1998-03-30,197
1998-03-31,191
1998-04-01,186
1998-04-02,186
1998-04-03,187
1998-04-04,191
1998-04-05,203
1998-04-06,251
1998-04-07,281
1998-04-08,275
1998-04-09,316
1998-04-10,369
1998-04-11,383
1998-04-12,384
1998-04-13,374
1998-04-14,346
1998-04-15,336
1998-04-16,352
1998-04-17,356
1998-04-18,363
1998-04-19,367
1998-04-20,349
1998-04-21,350
1998-04-22,353
1998-04-23,345
1998-04-24,321
1998-04-25,313
1998-04-26,302
1998-04-27,295
1998-04-28,294
1998-04-29,340
1998-04-30,386
1998-05-01,367
1998-05-02,335
1998-05-03,326
1998-05-04,333
1998-05-05,341
1998-05-06,328
1998-05-07,312
1998-05-08,292
1998-05-09,276
1998-05-10,267
1998-05-11,251
1998-05-12,240
1998-05-13,231
1998-05-14,223
1998-05-15,214
1998-05-16,208
1998-05-17,205
1998-05-18,205
1998-05-19,202
1998-05-20,201
1998-05-21,195
1998-05-22,198
1998-05-23,196
1998-05-24,189
1998-05-25,185
1998-05-26,182
1998-05-27,181
1998-05-28,179
1998-05-29,184
1998-05-30,187
1998-05-31,200
1998-06-01,189
1998-06-02,207
1998-06-03,220
1998-06-04,216
1998-06-05,197
1998-06-06,186
1998-06-07,186
1998-06-08,194
1998-06-09,193
1998-06-10,199
1998-06-11,202
1998-06-12,224
1998-06-13,234
1998-06-14,237
1998-06-15,254
1998-06-16,281
1998-06-17,287
1998-06-18,280
1998-06-19,271
1998-06-20,266
1998-06-21,252
1998-06-22,234
1998-06-23,222
1998-06-24,211
1998-06-25,203
1998-06-26,202
1998-06-27,196
1998-06-28,189
1998-06-29,191
1998-06-30,193
1998-07-01,206
1998-07-02,198
1998-07-03,190
1998-07-04,184
1998-07-05,179
1998-07-06,179
1998-07-07,187
1998-07-08,193
1998-07-09,199
1998-07-10,195
1998-07-11,193
1998-07-12,193
1998-07-13,198
1998-07-14,210
1998-07-15,218
1998-07-16,214
1998-07-17,205
1998-07-18,203
1998-07-19,209
1998-07-20,201
1998-07-21,189
1998-07-22,178
1998-07-23,169
1998-07-24,170
1998-07-25,163
1998-07-26,161
1998-07-27,154
1998-07-28,148
1998-07-29,145
1998-07-30,148
1998-07-31,161
1998-08-01,169
1998-08-02,170
1998-08-03,165
1998-08-04,163
1998-08-05,163
1998-08-06,163
1998-08-07,166
1998-08-08,153
1998-08-09,144
1998-08-10,140
1998-08-11,133
1998-08-12,127
1998-08-13,123
1998-08-14,120
1998-08-15,114
1998-08-16,112
1998-08-17,113
1998-08-18,108
1998-08-19,100
1998-08-20,100
1998-08-21,98
1998-08-22,104
1998-08-23,107
1998-08-24,111
1998-08-25,126
1998-08-26,131
1998-08-27,158
1998-08-28,174
1998-08-29,179
1998-08-30,174
1998-08-31,165
1998-09-01,157
1998-09-02,148
1998-09-03,146
1998-09-04,149
1998-09-05,152
1998-09-06,151
1998-09-07,158
1998-09-08,168
1998-09-09,190
1998-09-10,209
1998-09-11,194
1998-09-12,182
1998-09-13,192
1998-09-14,210
1998-09-15,278
1998-09-16,411
1998-09-17,454
1998-09-18,447
1998-09-19,453
1998-09-20,433
1998-09-21,407
1998-09-22,370
1998-09-23,331
1998-09-24,300
1998-09-25,276
1998-09-26,256
1998-09-27,241
1998-09-28,230
1998-09-29,221
1998-09-30,210
1998-10-01,205
1998-10-02,205
1998-10-03,221
1998-10-04,242
1998-10-05,251
1998-10-06,250
1998-10-07,241
1998-10-08,244
1998-10-09,262
1998-10-10,289
1998-10-11,303
1998-10-12,298
1998-10-13,289
1998-10-14,289
1998-10-15,302
1998-10-16,312
1998-10-17,313
1998-10-18,301
1998-10-19,290
1998-10-20,279
1998-10-21,272
1998-10-22,262
1998-10-23,251
1998-10-24,246
1998-10-25,254
1998-10-26,310
1998-10-27,405
1998-10-28,460
1998-10-29,496
1998-10-30,612
1998-10-31,733
1998-11-01,803
1998-11-02,857
1998-11-03,907
1998-11-04,895
1998-11-05,841
1998-11-06,760
1998-11-07,715
1998-11-08,679
1998-11-09,628
1998-11-10,589
1998-11-11,574
1998-11-12,560
1998-11-13,546
1998-11-14,548
1998-11-15,546
1998-11-16,533
1998-11-17,544
1998-11-18,557
1998-11-19,555
1998-11-20,537
1998-11-21,504
1998-11-22,462
1998-11-23,427
1998-11-24,395
1998-11-25,374
1998-11-26,351
1998-11-27,339
1998-11-28,328
1998-11-29,328
1998-11-30,327
1998-12-01,321
1998-12-02,316
1998-12-03,302
1998-12-04,291
1998-12-05,279
1998-12-06,269
1998-12-07,256
1998-12-08,256
1998-12-09,246
1998-12-10,244
1998-12-11,235
1998-12-12,237
1998-12-13,271
1998-12-14,370
1998-12-15,517
1998-12-16,566
1998-12-17,559
1998-12-18,520
1998-12-19,477
1998-12-20,444
1998-12-21,435
1998-12-22,422
1998-12-23,400
1998-12-24,374
1998-12-25,346
1998-12-26,331
1998-12-27,321
1998-12-28,337
1998-12-29,365
1998-12-30,353
1998-12-31,336
1999-01-01,309
1999-01-02,293
1999-01-03,286
1999-01-04,279
1999-01-05,289
1999-01-06,319
1999-01-07,327
1999-01-08,326
1999-01-09,324
1999-01-10,342
1999-01-11,394
1999-01-12,417
1999-01-13,398
1999-01-14,378
1999-01-15,358
1999-01-16,364
1999-01-17,395
1999-01-18,406
1999-01-19,392
1999-01-20,374
1999-01-21,356
1999-01-22,334
1999-01-23,313
1999-01-24,297
1999-01-25,281
1999-01-26,275
1999-01-27,277
1999-01-28,305
1999-01-29,389
1999-01-30,474
1999-01-31,499
1999-02-01,475
1999-02-02,424
1999-02-03,385
1999-02-04,354
1999-02-05,339
1999-02-06,333
1999-02-07,357
1999-02-08,412
1999-02-09,454
1999-02-10,461
1999-02-11,435
1999-02-12,401
1999-02-13,375
1999-02-14,352
1999-02-15,320
1999-02-16,311
1999-02-17,301
1999-02-18,296
1999-02-19,298
1999-02-20,315
1999-02-21,400
1999-02-22,596
1999-02-23,737
1999-02-24,822
1999-02-25,854
1999-02-26,834
1999-02-27,770
1999-02-28,715
1999-03-01,657
1999-03-02,619
1999-03-03,635
1999-03-04,671
1999-03-05,702
1999-03-06,707
1999-03-07,708
1999-03-08,678
1999-03-09,641
1999-03-10,598
1999-03-11,605
1999-03-12,658
1999-03-13,687
1999-03-14,658
1999-03-15,605
1999-03-16,570
1999-03-17,537
1999-03-18,510
1999-03-19,489
1999-03-20,469
1999-03-21,450
1999-03-22,432
1999-03-23,425
1999-03-24,429
1999-03-25,445
1999-03-26,444
1999-03-27,425
1999-03-28,409
1999-03-29,412
1999-03-30,488
1999-03-31,500
1999-04-01,450
1999-04-02,410
1999-04-03,390
1999-04-04,375
1999-04-05,361
1999-04-06,364
1999-04-07,357
1999-04-08,363
1999-04-09,366
1999-04-10,394
1999-04-11,421
1999-04-12,425
1999-04-13,421
1999-04-14,415
1999-04-15,428
1999-04-16,489
1999-04-17,522
1999-04-18,510
1999-04-19,480
1999-04-20,461
1999-04-21,450
1999-04-22,449
1999-04-23,452
1999-04-24,442
1999-04-25,438
1999-04-26,426
1999-04-27,410
1999-04-28,399
1999-04-29,385
1999-04-30,376
1999-05-01,369
1999-05-02,362
1999-05-03,364
1999-05-04,378
1999-05-05,369
1999-05-06,361
1999-05-07,359
1999-05-08,365
1999-05-09,370
1999-05-10,382
1999-05-11,395
1999-05-12,405
1999-05-13,402
1999-05-14,405
1999-05-15,443
1999-05-16,511
1999-05-17,560
1999-05-18,586
1999-05-19,586
1999-05-20,576
1999-05-21,554
1999-05-22,533
1999-05-23,520
1999-05-24,534
1999-05-25,543
1999-05-26,555
1999-05-27,560
1999-05-28,549
1999-05-29,533
1999-05-30,522
1999-05-31,519
1999-06-01,501
1999-06-02,488
1999-06-03,475
1999-06-04,471
1999-06-05,479
1999-06-06,481
1999-06-07,478
1999-06-08,480
1999-06-09,487
1999-06-10,482
1999-06-11,473
1999-06-12,475
1999-06-13,475
1999-06-14,477
1999-06-15,478
1999-06-16,470
1999-06-17,457
1999-06-18,451
1999-06-19,448
1999-06-20,441
1999-06-21,428
1999-06-22,415
1999-06-23,407
1999-06-24,399
1999-06-25,398
1999-06-26,399
1999-06-27,393
1999-06-28,385
1999-06-29,379
1999-06-30,368
1999-07-01,363
1999-07-02,363
1999-07-03,354
1999-07-04,351
1999-07-05,344
1999-07-06,341
1999-07-07,334
1999-07-08,377
1999-07-09,380
1999-07-10,378
1999-07-11,367
1999-07-12,359
1999-07-13,355
1999-07-14,363
1999-07-15,376
1999-07-16,383
1999-07-17,411
1999-07-18,423
1999-07-19,405
1999-07-20,382
1999-07-21,359
1999-07-22,348
1999-07-23,339
1999-07-24,330
1999-07-25,323
1999-07-26,309
1999-07-27,297
1999-07-28,283
1999-07-29,272
1999-07-30,262
1999-07-31,259
1999-08-01,252
1999-08-02,247
1999-08-03,236
1999-08-04,228
1999-08-05,222
1999-08-06,223
1999-08-07,224
1999-08-08,229
1999-08-09,228
1999-08-10,230
1999-08-11,239
1999-08-12,229
1999-08-13,233
1999-08-14,247
1999-08-15,269
1999-08-16,267
1999-08-17,287
1999-08-18,279
1999-08-19,275
1999-08-20,277
1999-08-21,277
1999-08-22,270
1999-08-23,265
1999-08-24,277
1999-08-25,272
1999-08-26,256
1999-08-27,253
1999-08-28,253
1999-08-29,244
1999-08-30,238
1999-08-31,244
1999-09-01,235
1999-09-02,231
1999-09-03,222
1999-09-04,211
1999-09-05,207
1999-09-06,200
1999-09-07,197
1999-09-08,186
1999-09-09,194
1999-09-10,188
1999-09-11,180
1999-09-12,172
1999-09-13,164
1999-09-14,155
1999-09-15,150
1999-09-16,145
1999-09-17,146
1999-09-18,145
1999-09-19,141
1999-09-20,139
1999-09-21,133
1999-09-22,134
1999-09-23,136
1999-09-24,151
1999-09-25,168
1999-09-26,175
1999-09-27,179
1999-09-28,199
1999-09-29,214
1999-09-30,228
1999-10-01,247
1999-10-02,272
1999-10-03,301
1999-10-04,305
1999-10-05,301
1999-10-06,290
1999-10-07,300
1999-10-08,303
1999-10-09,307
1999-10-10,298
1999-10-11,281
1999-10-12,269
1999-10-13,256
1999-10-14,245
1999-10-15,233
1999-10-16,222
1999-10-17,215
1999-10-18,204
1999-10-19,202
1999-10-20,195
1999-10-21,190
1999-10-22,184
1999-10-23,184
1999-10-24,183
1999-10-25,186
1999-10-26,195
1999-10-27,198
1999-10-28,214
1999-10-29,246
1999-10-30,235
1999-10-31,224
1999-11-01,220
1999-11-02,223
1999-11-03,218
1999-11-04,227
1999-11-05,229
1999-11-06,242
1999-11-07,248
1999-11-08,242
1999-11-09,234
1999-11-10,229
1999-11-11,225
1999-11-12,230
1999-11-13,271
1999-11-14,313
1999-11-15,291
1999-11-16,271
1999-11-17,247
1999-11-18,234
1999-11-19,228
1999-11-20,221
1999-11-21,213
1999-11-22,207
1999-11-23,209
1999-11-24,202
1999-11-25,199
1999-11-26,200
1999-11-27,202
1999-11-28,211
1999-11-29,210
1999-11-30,204
1999-12-01,202
1999-12-02,197
1999-12-03,191
1999-12-04,196
1999-12-05,200
1999-12-06,219
1999-12-07,259
1999-12-08,298
1999-12-09,291
1999-12-10,289
1999-12-11,289
1999-12-12,310
1999-12-13,370
1999-12-14,537
1999-12-15,575
1999-12-16,611
1999-12-17,585
1999-12-18,529
1999-12-19,485
1999-12-20,494
1999-12-21,560
1999-12-22,615
1999-12-23,633
1999-12-24,565
1999-12-25,495
1999-12-26,466
1999-12-27,577
1999-12-28,698
1999-12-29,759
1999-12-30,754
1999-12-31,728
2000-01-01,684
2000-01-02,605
2000-01-03,554
2000-01-04,511
2000-01-05,487
2000-01-06,465
2000-01-07,447
2000-01-08,431
2000-01-09,421
2000-01-10,406
2000-01-11,395
2000-01-12,404
2000-01-13,413
2000-01-14,389
2000-01-15,364
2000-01-16,347
2000-01-17,329
2000-01-18,314
2000-01-19,303
2000-01-20,289
2000-01-21,284
2000-01-22,281
2000-01-23,282
2000-01-24,277
2000-01-25,283
2000-01-26,282
2000-01-27,270
2000-01-28,253
2000-01-29,240
2000-01-30,240
2000-01-31,281
2000-02-01,381
2000-02-02,499
2000-02-03,532
2000-02-04,492
2000-02-05,455
2000-02-06,432
2000-02-07,406
2000-02-08,384
2000-02-09,367
2000-02-10,384
2000-02-11,445
2000-02-12,506
2000-02-13,519
2000-02-14,509
2000-02-15,501
2000-02-16,494
2000-02-17,506
2000-02-18,549
2000-02-19,586
2000-02-20,603
2000-02-21,627
2000-02-22,636
2000-02-23,612
2000-02-24,566
2000-02-25,525
2000-02-26,506
2000-02-27,499
2000-02-28,485
2000-02-29,476
2000-03-01,457
2000-03-02,456
2000-03-03,513
2000-03-04,577
2000-03-05,616
2000-03-06,639
2000-03-07,616
2000-03-08,572
2000-03-09,539
2000-03-10,528
2000-03-11,503
2000-03-12,486
2000-03-13,469
2000-03-14,448
2000-03-15,431
2000-03-16,421
2000-03-17,414
2000-03-18,419
2000-03-19,422
2000-03-20,417
2000-03-21,423
2000-03-22,425
2000-03-23,406
2000-03-24,385
2000-03-25,373
2000-03-26,363
2000-03-27,359
2000-03-28,358
2000-03-29,349
2000-03-30,338
2000-03-31,344
2000-04-01,401
2000-04-02,478
